university_name,website,general_email,admissions_email,international_email,contact_email,info_email,all_emails
University of Oxford,https://www.ox.ac.uk/,admissions@ox.ac.uk,admissions@ox.ac.uk,international.office@ox.ac.uk,contact@ox.ac.uk,info@ox.ac.uk,admissions@ox.ac.uk; international.office@ox.ac.uk; contact@ox.ac.uk; info@ox.ac.uk
University of Cambridge,https://www.cam.ac.uk/,admissions@cam.ac.uk,admissions@cam.ac.uk,international@cam.ac.uk,contact@cam.ac.uk,info@cam.ac.uk,admissions@cam.ac.uk; international@cam.ac.uk; contact@cam.ac.uk; info@cam.ac.uk
Imperial College London,https://www.imperial.ac.uk/,admissions@imperial.ac.uk,admissions@imperial.ac.uk,international@imperial.ac.uk,contact@imperial.ac.uk,info@imperial.ac.uk,admissions@imperial.ac.uk; international@imperial.ac.uk; contact@imperial.ac.uk; info@imperial.ac.uk
University College London,https://www.ucl.ac.uk/,admissions@ucl.ac.uk,admissions@ucl.ac.uk,international@ucl.ac.uk,contact@ucl.ac.uk,info@ucl.ac.uk,admissions@ucl.ac.uk; international@ucl.ac.uk; contact@ucl.ac.uk; info@ucl.ac.uk
London School of Economics and Political Science,https://www.lse.ac.uk/,admissions@lse.ac.uk,admissions@lse.ac.uk,international@lse.ac.uk,contact@lse.ac.uk,info@lse.ac.uk,admissions@lse.ac.uk; international@lse.ac.uk; contact@lse.ac.uk; info@lse.ac.uk
University of Edinburgh,https://www.ed.ac.uk/,admissions@ed.ac.uk,admissions@ed.ac.uk,international@ed.ac.uk,contact@ed.ac.uk,info@ed.ac.uk,admissions@ed.ac.uk; international@ed.ac.uk; contact@ed.ac.uk; info@ed.ac.uk
King's College London,https://www.kcl.ac.uk/,admissions@kcl.ac.uk,admissions@kcl.ac.uk,international@kcl.ac.uk,contact@kcl.ac.uk,info@kcl.ac.uk,admissions@kcl.ac.uk; international@kcl.ac.uk; contact@kcl.ac.uk; info@kcl.ac.uk
University of Manchester,https://www.manchester.ac.uk/,admissions@manchester.ac.uk,admissions@manchester.ac.uk,international@manchester.ac.uk,contact@manchester.ac.uk,info@manchester.ac.uk,admissions@manchester.ac.uk; international@manchester.ac.uk; contact@manchester.ac.uk; info@manchester.ac.uk
University of Bristol,https://www.bristol.ac.uk/,admissions@bristol.ac.uk,admissions@bristol.ac.uk,international@bristol.ac.uk,contact@bristol.ac.uk,info@bristol.ac.uk,admissions@bristol.ac.uk; international@bristol.ac.uk; contact@bristol.ac.uk; info@bristol.ac.uk
University of Warwick,https://www.warwick.ac.uk/,admissions@warwick.ac.uk,admissions@warwick.ac.uk,international@warwick.ac.uk,contact@warwick.ac.uk,info@warwick.ac.uk,admissions@warwick.ac.uk; international@warwick.ac.uk; contact@warwick.ac.uk; info@warwick.ac.uk
